Filename: JornadaStudy_287_npp_perennial_plant_phenology.csv  Last Updated: 1/02/2013    By: Ken Ramsey

Data Set Title: Plant phenology transect at NPP sites
Project Title: Perennial Plant Phenology on NPP Sites

Variable Information:
  Date     - Date [dd/mm/yy]
  JD     - Julian Day
  Zone     - Zone  [C=Creosote
                    G=Grasland
                    M=Mesquite
                    P=Playa
                    T=Tarbush]
  Site     - Site Name
  SPP      - Species Code [4 letter acronym; see LTER site species list]
  DORMANT  - Count (# of dormant individuals)
  NON-REP  - Count (# of non-reproductive individuals)
  BUD      - Count (# of individuals in bud)
  FLOWER   - Count (# of individuals in flower)
  FRUIT    - Count (# of individuals in fruit)
  OBSERVER - initials of field observer
    Observer History:
    "Months,Years,Begin-End,Observer"
    "51,4.25,Jul-1992-Sep-1996,CIS = Cathie Sandell"
    "35,2.92,Sep-1996-Jul-1999,CMM = Chris McGlone"
    "30,2.50,Jul-1999-Dec-2000,SR = Stephanie Richmond"
    "31,2.58,Dec-2000-Jun-2003,MB = Michelle Buonopane"
    "8,0.67,Jun-2003-Jan-2004,JB = Jennifer Baker"
    "16,1.33,Feb-2004-May-2005,LJL = Louis Lamit"
    "16,1.33,May-2005-Aug-2006,MLA = Michael Anthony"
    "9,0.75,Aug-2006-Apr-2006,JPA = John Anderson"
    "6,0.50,Mar-2007-Aug-2007,CTB = Chandra Tucker-Britt"
    "12,1.00,Sep-2007-Jul-2008,LS = Lisa Schauer"
    "3,0.25,Aug-2008-Oct-2008,SRB = Stephanie Baker"
    "3,0.25,Nov-2008-Jan-2009,LSG = Lance Glasgow"
    "1,0.08,Feb-2009-ongoing,SRB = Stephanie Baker"
    ",,Mar-2009-ongoing,RMF = Roxanne Franke"
    ===== end Observer History =====
  COMMENT  - Comment section [*see history log refers to file: JornadaStudy_287_npp_perennial_plant_phenology.his]
  PercentDORMANT = percent of all phenophase observations that are Dormant (= Dormant count divided by count sum of all phenophases)
  PercentNON-REP = percent of all phenophase observations that are Non-reproductive (= Dormant count divided by count sum of all phenophases)
  PercentBUD = percent of all phenophase observations that are Bud (= Bud count divided by count sum of all phenophases)
  PercentFLOWER = percent of all phenophase observations that are Flower (= Dormant count divided by count sum of all phenophases)
  PercentFRUIT = percent of all phenophase observations that are Fruit (= Dormant count divided by count sum of all phenophases)

DATE,JD,ZONE,SITE,SPP,DORMANT,NON-REP,BUD,FLOWER,FRUIT,OBSERVER,PercentDORMANT,PercentNON-REP,PercentBUD,PercentFLOWER,PercentFRUIT,COMMENT
07/15/1992,197,G,IBPE,ARSP,0,3,0,0,12,CIS,0.00,20.00,0.00,0.00,80.00,
07/15/1992,197,G,IBPE,BOER,0,307,26,0,0,CIS,0.00,92.19,7.81,0.00,0.00,
07/15/1992,197,G,IBPE,EPTR,0,2,0,0,3,CIS,0.00,40.00,0.00,0.00,60.00
07/15/1992,197,G,IBPE,MUPO,0,0,2,0,0,CIS,0.00,0.00,100.00,0.00,0.00
07/15/1992,197,G,IBPE,PRGL,0,0,0,0,1,CIS,0.00,0.00,0.00,0.00,100.00
07/15/1992,197,G,IBPE,SELE,0,0,0,0,13,CIS,0.00,0.00,0.00,0.00,100.00
07/15/1992,197,G,IBPE,SPFL,0,110,4,0,0,CIS,0.00,96.49,3.51,0.00,0.00
07/15/1992,197,G,IBPE,XANT,0,11,0,0,0,CIS,0.00,100.00,0.00,0.00,0.00
07/15/1992,197,G,IBPE,YUEL,0,10,0,0,0,CIS,0.00,100.00,0.00,0.00,0.00
07/15/1992,197,M,NORT,ARSP,0,0,0,0,3,CIS,0.00,0.00,0.00,0.00,100.00
07/15/1992,197,M,NORT,DAPU,0,0,0,0,16,CIS,0.00,0.00,0.00,0.00,100.00
07/15/1992,197,M,NORT,MUPO,0,3,0,0,0,CIS,0.00,100.00,0.00,0.00,0.00
07/15/1992,197,M,NORT,PRGL,0,19,1,0,13,CIS,0.00,57.58,3.03,0.00,39.39
07/15/1992,197,M,NORT,SPFL,0,20,3,0,0,CIS,0.00,86.96,13.04,0.00,0.00
07/15/1992,197,M,NORT,XANT,0,45,9,2,0,CIS,0.00,80.36,16.07,3.57,0.00
07/15/1992,197,M,RABB,ARSP,0,3,1,0,8,CIS,0.00,25.00,8.33,0.00,66.67
07/15/1992,197,M,RABB,DAPU,0,0,0,422,0,CIS,0.00,0.00,0.00,100.00,0.00
07/15/1992,197,M,RABB,MUPO,0,1,2,0,0,CIS,0.00,33.33,66.67,0.00,0.00
07/15/1992,197,M,RABB,PRGL,0,35,0,0,3,CIS,0.00,92.11,0.00,0.00,7.89
07/15/1992,197,M,RABB,SPFL,0,37,10,0,37,CIS,0.00,44.05,11.90,0.00,44.05
07/15/1992,197,M,RABB,XANT,0,38,2,0,0,CIS,0.00,95.00,5.00,0.00,0.00
07/15/1992,197,P,TOBO,OPIM,0,1,0,0,1,CIS,0.00,50.00,0.00,0.00,50.00
07/15/1992,197,P,TOBO,OPVI,0,2,0,0,0,CIS,0.00,100.00,0.00,0.00,0.00
07/15/1992,197,P,TOBO,PLMU,0,32,239,0,0,CIS,0.00,11.81,88.19,0.00,0.00
07/15/1992,197,P,TOBO,SPAI,0,72,390,0,0,CIS,0.00,15.58,84.42,0.00,0.00
07/15/1992,197,M,WELL,ARSP,0,1,0,0,11,CIS,0.00,8.33,0.00,0.00,91.67
07/15/1992,197,M,WELL,DAPU,0,1,0,533,0,CIS,0.00,0.19,0.00,99.81,0.00
07/15/1992,197,M,WELL,EPTR,0,1,0,0,0,CIS,0.00,100.00,0.00,0.00,0.00
