species,Code,Habit,Form,Habitat,Phnlgy,Path,STAT,Ref_Voucher
abutilon malacum,ABMA ,  P  , FORB , BF  ,        SU   ,C3   , NAT , CJ1040 S-1950
acacia constricta,ACCO ,  P  ,SHRUB , BF  ,        SP   ,C3   , NAT , CJ 772
acacia neovernicosa,ACNE ,  P  ,SHRUB , BF  ,        SP   ,C3   , NAT , CJ 772
acalypha neomexicana,ACNM ,  A  , FORB , BS  ,        SU   ,.    , NAT , CJ 945
acanthochiton wrightii,ACWR ,  A  , FORB , MR  ,        SU   ,.    , .   , CJ 562
allionia choisyi,ALCH ,  P  , FORB , GB  ,        SU   ,.    , NAT,
allionia incarnata,ALIN ,  P  , FORB , BF  ,        SU   ,C4   , NAT , CJ 577
allium macropetalum,ALMA ,  P  , FORB , BF  ,        SP   ,C3   , NAT , CJ 389 S-2220
aloysia wrightii,ALWR ,  P  ,SHRUB , MS  ,        SP   ,C3   , NAT , CJ1334
amaranthus blitoides,AMBL ,  A  , FORB , PC  ,        SU   ,C4   , NAT , CJ 560 S-2371
amaranthus crassipes,AMCR ,  A  , FORB , PS  ,        SU   ,.    , .,
amaranthus fimbriatus,AMFI ,  A  , FORB , BS  ,        SU   ,C4   , NAT , CJ 558
amaranthus palmeri,AMPA ,  A  , FORB , PC  ,        SU   ,C4   , NAT , CJ 555 S-2370
amaranthus pubescens,AMPU ,  A  , FORB , PC  ,        SU   ,C4   , NAT , CJ 560 S-2365
ambrosia acanthicarpa,AMAC ,  A  , FORB ," MW,P",T       SU   ,.    , NAT , CJ1632 P-315
ammocodon chenopodioides,AMCH ,  P  , FORB , BS  ,        SU   ,C4   , NAT , CJ 587 S-2156
amsonia arenaria,AMAR ,  P  , FORB , .   ,        SP   ,.    , NAT , CJ1214
anoda cristata,ANCR ,  A  , FORB , GS  ,        SU   ,.    , NAT , CJ1054
aphanostephus ramosissimus,APRA ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1613
apodanthera undulata,APUN ,  P  , FORB , BF  ,        SU   ,.    , NAT , CJ1510
aristida adscensionis,ARAD ,  A  ,GRASS , BF  ,        SU   ,C4   , NAT , KA  51 S-2358
aristida glauca,ARNE,,,,,,,
aristida hamulosa,ARHA,,,,,,,
aristida havardii,ARVA ,  P  ,GRASS , .   ,        SU   ,C4   , NAT , KA  53
aristida longiseta,ARLO,,,,,,,
aristida pansa,ARDI ,  P  ,GRASS , .   ,        SU   ,C4   , NAT , KA  55
aristida pansa,ARPA ,  P  ,GRASS , .   ,     SP-SU   ,C4   , NAT , KA  55
aristida purpurea,ARLO ,  P  ,GRASS , BF  ,     SP-SU   ,C4   , NAT , KA  56 S-2252
aristida purpurea,ARNE ,  P  ,GRASS , BF  ,     SP-SU   ,C4   , NAT , KA  56
aristida purpurea,ARPE ,  P  ,GRASS , GX  ,     SP-SU   ,C4   , NAT , KA
aristida purpurea,ARPU ,  P  ,GRASS , BF  ,        SP   ,C4   , NAT , KA  55
aristida purpurea,ARWR ,  P  ,GRASS , BF  ,        SU   ,C4   , NAT , KA  57
aristida ternipes,ARHA ,  P  ,GRASS , BF  ,        SU   ,C4   , NAT , KA  54
aristida ternipes,ARTE ,  P  ,GRASS , BF  ,        SU   ,C4   , NAT , KA  52
aristida wrightii,ARWR,,,,,,,
artemisia glauca,ARGA ,  P  , FORB ,     ,        SU   ,C3   , NAT , CJ1707
artemisia ludoviciana,ARLU ,  P  ,S-SHR , MS  ,        SU   ,C3   , NAT , CJ1706
asclepias brachystephana,ASBR ,  P  , FORB , BS  ,     SP-SU   ,C3   , NAT , CJ1232 S-2289
asclepias nyctaginifolia,ASNY ,  P  , FORB , TW  ,     SP-SU   ,.    , NAT , KP662  P-376
asclepias subverticillata,ASSU ,  P  , FORB , PS  ,     SP-SU   ,C3   , NAT , CJ1231
astragalus allochrous,ASAL ,  B  , FORB , BF  ,        SP   ,C3   , NAT , CJ 847 S-2210
astragalus crassicarpus,ASCR ,  P  , FORB , GI  ,        SP   ,.    , NAT , CT 845
astragalus mollissimus,ASMO ,  P  , FORB , BF  ,        SP   ,C3   , NAT , CJ 844
astragalus nuttallianus,ASNU ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ 849 S-2224
astragalus tephrodes,ASTE ,  P  , FORB , BF  ,     SP-SU   ,C3   , NAT , KP 459 S-2231
astragalus wootonii,ASWO ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ 847
atriplex canescens,ATCA ,  P  ,SHRUB , BS  ,     SP-SU   ,C4   , NAT , CJ 543
avena fatua,AVFA ,  A  ,GRASS , .   ,        .    ,.   I,NTRO , KA  59
bahia absinthifolia,BAAB ,  P  , FORB , BF  ,        SU   ,C3   , NAT , CJ1699 S-2151
bahia biternata,BABI ,  A  , FORB , BF  ,        SU   ,C3   , NAT , CJ1699 S-2391
bahia pedata,BAPE ,  A  , FORB , BF  ,        SU   ,C3   , NAT , CJ1698 S-2390
baileya multiradiata,BAMU ,  P  , FORB , BF  ,        SU   ,C3   , NAT , CJ1701 S-2253
berlandiera lyrata,BELY ,  P  , FORB , BS  ,        SP   ,C3   , NAT , CJ1624 W-s.n.
bidens heterosperma,BIHE ,  A  , FORB , BS  ,        SU   ,.    , NAT , KP 911
boerhavia coccinea,BOCO ,  P  , FORB , BF  ,        SU   ,C4   , NAT , CJ 595 S-1943
boerhavia gracillima,BOGL ,  P  , FORB , BF  ,        SU   ,C4   , NAT , CJ 595 S-1949
boerhavia intermedia,BOIN ,  A  , FORB , BF  ,        SU   ,C4   , NAT , CJ 596 S-2366
boerhavia spicata,BOSP ,  A  , FORB , BF  ,        SU   ,C4   , NAT , CJ 597 S-1947
boerhavia wrightii,BOWR ,  A  , FORB , BF  ,        SU   ,C4   , NAT , CJ 597
bothriochloa barbinodis,BOBR ,  P  ,GRASS , CC  ,        SU   ,.    , NAT , KA  90
bothriochloa ischaemum,BOIS ,  P  ,GRASS , .   ,        SU   ,.   I,NTRO , KA  61
bothriochloa saccaroides,BOTO,,,,,,,
bothriochloa laguroides,BOTO ,  P  ,GRASS , MS  ,        SU   ,C4   , NAT , KA  61
bothriochloa springfieldii,BOSR ,  P  ,GRASS , .   ,        SU   ,C4   , NAT , KA  62
bouteloua aristidoides,BOAR ,  A  ,GRASS , BS  ,        SU   ,C4   , NAT , KA  65
bouteloua barbata,BOBA ,  A  ,GRASS , BF  ,        SU   ,C4   , NAT , KA  68 S-2357
bouteloua curtipendula,BOCU ,  P  ,GRASS , BF  ,        SU   ,C4   , NAT , KA  65 S-2364
bouteloua eriopoda,BOER ,  P  ,GRASS , BS  ,        SU   ,C4   , NAT , KA  63 S-2385
brachiaria arizonica,BRAR ,  A  ,GRASS , GI  ,        SU   ,C4   , NAT , KA  70
brachiaria fasciculata,BRFA ,  A  ,GRASS , GS  ,        SU   ,C4   , NAT , KA  70
brickellia californica,BRCA ,  P  ,SHRUB , MS  ,        SU   ,C3   , NAT , CJ1546
brickellia laciniata,BRLA ,  P  ,SHRUB , BA  ,        SU   ,C3   , NAT , CJ1546
caesalpinia jamesii,CAJA ,  P  , FORB , .   ,     SP-SU   ,.    , NAT , CJ 796
calliandra humilis,CAHU ,  P  , FORB , PC  ,     SP-SU   ,C3   , NAT , CJ 770 S-2372
early data,CAHA ,  P  ,S-SHR , PC  ,     SP-SU   ,C3   , NAT , CJ 770 S-2372
calycoseris wrightii,CAWR ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1729 S&W-2806
camissonia chamaenerioides,CACH ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1121
carlowrightia linearifolia,CALI ,  P  ,S-SHR , BF  ,        SU   ,C3   , NAT , CJ1468 S-1945
cassia bauhinioides,CABA ,  P  , FORB , BF  ,     SP-SU   ,C3   , NAT , CJ 787 L-1227
cenchrus incertus,CEIN ,  A  ,GRASS , .   ,     SP-SU   ,.    , NAT , KA  81
ceratoides lanata,CELA ,  P  ,SHRUB , BF  ,        SU   ,C3   , NAT , CJ 545
(cheno.) winterfat,ta),,,,,,,
cevallia sinuata,CESI ,  P  ,S-SHR , .   ,        SU   ,.    , NAT , CJ1063
chaenactis stevioides,CHST ,  A  , FORB , BF  ,        SP   ,C3   , NAT , KP 922 S-2255
chamaesaracha coronopus,CHCO ,  P  , FORB , GS  ,        SU   ,C3   , NAT , CJ1741
chamaesaracha sordida,CHSO ,  P  , FORB , BF  ,        SU   ,C3   , NAT , CJ1393
cheilanthes tomentosa,CHTO ,  P  , FERN , MS  ,             ,C3   , NAT , CJ  57
chenopodium incanum,CHIN ,  A  , FORB , PC  ,        SU   ,C3   , NAT , CJ 535 S-2363
chenopodium leptophyllum,CHLE ,  A  , FORB , PC  ,        SU   ,C3   , NAT , CJ 534
chilopsis linearis,CHLI ,  P  ,SHRUB , BA  ,     SP-SU   ,C3   , NAT , CJ1444
chloris virgata,CHVI ,  A  ,GRASS , BS  ,        SU   ,C4   , NAT , KA  82 S-2369
chrysothamnus pulchellus,CHPU ,  P  ,SHRUB , .   ,        SU   ,.    , NAT , CJ1577
cirsium ochrocentrum,CIOC ,  A  , FORB , PC  ,        SU   ,C3   , NAT , CJ1717 S-2378
commelina erecta,COER ,  P  , FORB , MS  ,        SU   ,C3   , NAT , CJ 358
condalia warnockii,COWA ,  P  ,SHRUB , BF  ,        SU   ,C3   , NAT , CJ1014
convolvulus equitans,COEQ ,  P  , FORB , GB  ,     SP-SU   ,.    , NAT , CJ1246
conyza canadensis,COCA ,  A  , FORB , PC  ,        SU   ,C3   , NAT , CJ1608
conyza coulteri,COCO ,  A  , FORB , PC  ,        SU   ,C3   , NAT , CJ1609
corispermum nitidum,CONI ,  A  , FORB , MW  ,        SU   , .  I,NTRO , CJ 547
corydalis aurea,COAU ,  A  , FORB , PC  ,        SP   ,C3   , NAT , CJ 670 S&W-2804
coryphantha macromeris,COMA ,  P  ,ST-SU , BF  ,        SP  C,AM   , NAT , CJ1110
coryphantha scheeri,COSC ,  P  ,ST-SU , GB T,W       .   C,AM   , NAT , CJ1110
coryphantha vivipara,COVI ,  P  ,ST-SU , BF  ,        SP  C,AM   , NAT , CJ1110
croton pottsii,CRPO ,  P  , FORB , BS  ,     SP-SU   ,C3   , NAT , CJ 936 S-2286
cryptantha angustifolia,CRAN ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1299 S-2258
cryptantha barbigera,CRBA ,  A  , FORB , TT  ,        SP   ,.    , NAT , CJ1299
cryptantha crassisepala,CRCR ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1298 S-2219
cryptantha jamesii,CRJA ,  P  , FORB , BF  ,        SP   ,C3   , NAT , CJ1299 S-2260
cryptantha micrantha,CRMI ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1296 S-2233
cryptantha pterocarya,CRPT ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1298
cryptantha pusilla,CRPU ,  A  , FORB , TW  ,        SP   ,.    , NAT , CJ1298
cucurbita foetidissima,CUFO ,  P  , VINE , BS  ,        SU   ,C3   , NAT , CJ1510 S-2290
cuscuta umbellata,CUUM ,  P  , VINE , PC  ,        SU  P,AR   , NAT , CJ1261 S-2379
cyperus esculentus,CYES ,  P  ,GRASS , PC  ,        SU   ,C4   , NAT , CJ 291
cyphomeris gypsophiloides,CYGY ,  P  , FORB , CG  ,        SU   ,.    , NAT , CJ 591
dalea formosa,DAFO ,  P  ,SHRUB , BF  ,        SP   ,C3   , NAT , CJ 826 S-2223
dalea nana,DANA ,  P  , FORB , GI  ,     SP-SU   ,C3   , NAT , CJ 825
dalea scoparia,DASC ,  P  ,SHRUB , .   ,        SU   ,.    , NAT , CJ 821
dasylirion wheeleri,DAWH ,  P  ,SHRUB , MS  ,     SP-SU   ,C3   , NAT , CJ 405
dasyochloa pulchella,DAPU ,  P  ,GRASS , BF  ,        SU   ,C4   , NAT , KA  87
datura wrightii,DAWR ,  P  , FORB , BS  ,     SP-SU   ,C3   , NAT , CJ1405
delphinium virescens,DEVI ,  P  , FORB , BS  ,        SU   ,.    , NAT , CJ 639
descurainia pinnata,DEPI ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ 683 S-2216
desmanthus cooleyi,DECO ,  P  , FORB , GI  ,        SU   ,.    , NAT , CJ 781
digitaria californica,DICA ,  P  ,GRASS , BS  ,     SP-SU   ,C4   , NAT , KA  91
distichlis spicata,DISP ,  P  ,GRASS , BF  ,        SU   ,C4   , NAT , KA  92
dithyrea wislizenii,DIWI ,  B  , FORB , BF  ,        SP   ,C3   , NAT , CJ 706 S-2218
draba cuneifolia,DRCU ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ 694 S-2226
dyssodia acerosa,DYAC ,  P  ,SHRUB , BF  ,     SP-SU   ,C3   , NAT , CJ1681 S-2225
dyssodia papposa,DYPA ,  A  , FORB , TE  ,        SU   ,.    , NAT , CJ1680
dyssodia pentachaeta,DYPE ,  P  , FORB , BD  ,     SP-SU   ,.    , NAT,
echinocactus horizonthalonius,ECHO ,  P  ,ST-SU , BF  ,        SP  C,AM   , NAT , CJ1104
echinocereus fendleri,ECFE ,  P  ,ST-SU , BF  ,        SP  C,AM   , NAT , CJ1097
echinocereus pectinatus,ECPE ,  P  ,ST-SU , BF  ,        SP  C,AM   , NAT , CJ1098
echinocereus triglochidiatus,ECTR ,  P  ,ST-SU , BF  ,        SP  C,AM   , NAT , CJ1096
echinochloa colonum,ECCO ,  A  ,GRASS , PC  ,        SU   ,.   I,NTRO , KA  93
enneapogon desvauxii,ENDE ,  P  ,GRASS , BF  ,        SU   ,C4   , NAT , KA 105 S-1951
ephedra trifurca,EPTR ,  P  ,SHRUB , BF  ,        SP   ,C3   , NAT , CJ  81 S-2256
